Date,Holiday,Weekend,Temperature,Bookings,Events,Occupancy,GuestCount
2017-01-01,1,1,27.3,418,0,89,829
2017-01-02,0,0,29.1,149,0,30,278
2017-01-03,0,0,31.0,175,0,39,333
2017-01-04,0,0,21.2,212,0,39,396
2017-01-05,0,0,19.5,175,0,35,290
2017-01-06,0,0,31.5,170,0,30,333
2017-01-07,0,1,27.9,371,1,83,626
2017-01-08,0,1,30.8,271,0,49,435
2017-01-09,0,0,18.7,217,0,48,336
2017-01-10,0,0,20.6,158,0,27,309
2017-01-11,0,0,35.9,154,0,28,297
2017-01-12,0,0,19.2,183,0,37,307
2017-01-13,0,0,35.0,193,0,40,296
2017-01-14,0,1,24.2,309,0,61,473
2017-01-15,0,1,34.8,274,0,56,541
2017-01-16,0,0,35.8,186,0,34,362
2017-01-17,0,0,23.2,162,0,29,269
2017-01-18,0,0,29.1,174,0,30,263
2017-01-19,0,0,31.7,144,0,33,232
2017-01-20,0,0,24.9,149,0,33,225
2017-01-21,0,1,23.6,284,0,56,464
2017-01-22,0,1,33.6,307,0,58,472
2017-01-23,0,0,25.4,152,0,34,270
2017-01-24,0,0,24.9,142,0,24,238
2017-01-25,0,0,32.3,218,0,41,382
2017-01-26,0,0,27.1,145,0,31,256
2017-01-27,0,0,21.8,210,0,46,321
2017-01-28,0,1,33.6,273,0,51,529
2017-01-29,0,1,35.5,277,0,58,530
2017-01-30,0,0,35.8,184,0,34,339
2017-01-31,0,0,26.4,202,0,38,311
2017-02-01,0,0,20.7,184,0,33,289
2017-02-02,0,0,22.6,148,0,34,255
2017-02-03,0,0,27.4,158,0,36,299
2017-02-04,0,1,26.0,237,0,51,379
2017-02-05,0,1,34.0,304,0,61,605
2017-02-06,0,0,23.5,181,0,33,355
2017-02-07,0,0,32.4,187,0,34,331
2017-02-08,0,0,18.8,261,1,61,484
2017-02-09,0,0,26.8,152,0,32,273
2017-02-10,0,0,33.7,218,0,43,343
2017-02-11,0,1,30.5,335,1,71,652
2017-02-12,0,1,27.6,310,0,57,519
2017-02-13,0,0,34.5,152,0,30,239
2017-02-14,1,0,31.1,270,0,60,445
2017-02-15,0,0,26.5,219,0,47,372
2017-02-16,0,0,30.7,209,0,39,338
2017-02-17,0,0,26.0,188,0,33,307
2017-02-18,0,1,28.4,245,0,44,469
2017-02-19,0,1,35.8,275,0,56,415
2017-02-20,0,0,25.4,179,0,31,352
2017-02-21,0,0,22.4,158,0,27,295
2017-02-22,0,0,26.2,179,0,40,356
2017-02-23,0,0,24.0,218,0,48,342
2017-02-24,0,0,19.3,217,0,39,404
2017-02-25,0,1,32.5,260,0,48,505
2017-02-26,0,1,33.6,276,0,57,430
2017-02-27,0,0,32.8,216,0,47,394
2017-02-28,0,0,21.9,167,0,31,304
2017-03-01,0,0,27.2,279,1,65,437
2017-03-02,0,0,20.0,157,0,27,273
2017-03-03,0,0,32.1,161,0,35,269
2017-03-04,0,1,28.8,243,0,48,439
2017-03-05,0,1,22.4,234,0,52,455
2017-03-06,0,0,23.9,144,0,25,258
2017-03-07,0,0,35.3,146,0,29,289
2017-03-08,0,0,24.4,169,0,31,332
2017-03-09,0,0,31.6,165,0,32,267
2017-03-10,0,0,23.1,143,0,31,220
2017-03-11,0,1,34.5,310,0,63,582
